date,min,max,pm25,q1,q3,stdev,count
2020-09-27T00:00:00.000Z,0.2,4.3,1.51,1.14,2,0.78,226
2020-09-28T00:00:00.000Z,0.3,57.78,1.24,0.82,1.9,3.575,274
2020-09-29T00:00:00.000Z,0.5,5.3,1.75,1.1,2.5,0.965,265
2020-09-30T00:00:00.000Z,0.9,6.2,2.42,1.79,3.69,1.296,389
2020-10-01T00:00:00.000Z,1.2,14.85,4.76,2.02,6.15,2.649,314
2020-10-02T00:00:00.000Z,1.58,6.35,2.75,2.33,3.26,0.786,280
2020-10-03T00:00:00.000Z,0.7,8.68,2.2,1.58,3.17,1.504,263
2020-10-04T00:00:00.000Z,0.62,3.4,1.27,1.1,1.5,0.368,312
2020-10-05T00:00:00.000Z,0.8,5.35,2.17,1.4,2.8,0.852,319
2020-10-06T00:00:00.000Z,0.77,8.68,1.85,1.4,2.29,1.134,339
2020-10-07T00:00:00.000Z,1.27,6.65,2.94,2.2,3.84,1.149,336
2020-10-08T00:00:00.000Z,0.3,7.05,1.19,0.82,1.87,1.002,322
2020-10-09T00:00:00.000Z,0.93,9.05,2.4,1.52,3.76,1.927,353
2020-10-10T00:00:00.000Z,1.08,22.52,4.75,2.25,6.25,3.211,413
2020-10-11T00:00:00.000Z,1.3,5.53,2.8,2.35,3.5,0.846,431
2020-10-12T00:00:00.000Z,0.85,6.82,2.1,1.67,2.78,0.795,340
2020-10-13T00:00:00.000Z,0.5,5.7,1.54,1,2.37,1,412
2020-10-14T00:00:00.000Z,0.6,26.75,1.65,1.3,2.44,2.114,392
2020-10-15T00:00:00.000Z,1.62,8.43,5.53,4.05,6.33,1.492,57
2020-10-16T00:00:00.000Z,1.17,7.57,2.8,2.2,3.45,0.933,152
2020-10-17T00:00:00.000Z,0.9,12.05,2.31,1.55,4.59,3.051,434
2020-10-18T00:00:00.000Z,0.65,13.15,3.03,1.7,5.72,3.091,443
2020-10-19T00:00:00.000Z,0.85,12.43,4.72,2.06,6.8,2.917,441
2020-10-20T00:00:00.000Z,0.85,16.23,4.73,2.38,10.88,4.535,446
2020-10-21T00:00:00.000Z,1.02,17.95,7.3,2.54,9.55,4.061,436
2020-10-22T00:00:00.000Z,1.2,19,7.15,2.92,10.23,4.43,421
2020-10-23T00:00:00.000Z,0.9,18.82,5.42,2.31,9.16,4.874,424
2020-10-24T00:00:00.000Z,1.3,11.15,3.85,2.65,5.15,1.923,439
2020-10-25T00:00:00.000Z,1.25,10.52,3.79,2.04,4.84,2.173,474
2020-10-26T00:00:00.000Z,0.95,5.85,1.85,1.48,2.7,0.973,468
2020-10-27T00:00:00.000Z,1.17,8.57,2.67,2.02,4.13,1.665,441
2020-10-28T00:00:00.000Z,0.8,9.23,3.28,1.89,4.47,1.575,461
2020-10-29T00:00:00.000Z,0.52,19.35,5.03,3.36,7.04,3.35,460
2020-10-30T00:00:00.000Z,1.7,22.9,5.7,3.17,8.64,4.481,468
2020-10-31T00:00:00.000Z,1.27,18.57,9.68,3.72,12.4,4.688,483
2020-11-01T00:00:00.000Z,4.5,26.05,11.5,8.57,13.93,3.998,483
2020-11-02T00:00:00.000Z,2.75,27.17,13.15,5.85,19.85,7.058,455
2020-11-03T00:00:00.000Z,2.97,29.13,14.25,6.74,20.9,7.085,457
2020-11-04T00:00:00.000Z,5.82,31.08,18,12.6,22.51,6.24,352
2020-11-05T00:00:00.000Z,6.82,18.77,11.22,9.18,13.35,2.727,344
2020-11-06T00:00:00.000Z,2.29,20.05,6.44,5.2,11.15,3.592,338
2020-11-07T00:00:00.000Z,6.3,39.7,10.27,9.1,13.6,7.014,394
2020-11-08T00:00:00.000Z,6.1,46.3,17.32,13.51,22.14,8.375,341
2020-11-09T00:00:00.000Z,4.78,29.75,14.52,10.29,21.79,6.59,285
2020-11-10T00:00:00.000Z,5,28.77,14.9,11.8,19.25,5.639,335
2020-11-11T00:00:00.000Z,4.13,29.73,17.5,10.48,22.15,7,346
2020-11-12T00:00:00.000Z,4.13,34.25,22.08,8.84,25.69,8.668,297
2020-11-13T00:00:00.000Z,2.27,37.4,15.37,10.13,20.6,7.279,308
2020-11-14T00:00:00.000Z,2.78,26.25,13.15,6,20.2,7.185,339
2020-11-15T00:00:00.000Z,3.6,19.98,10.45,8.34,12.04,3.45,289
2020-11-16T00:00:00.000Z,0.82,13.7,8.4,6.28,10.34,3.095,281
2020-11-17T00:00:00.000Z,0.35,3.4,1.02,0.7,1.4,0.552,314
2020-11-18T00:00:00.000Z,0.68,15.77,2,1.58,5.59,4.689,372
2020-11-19T00:00:00.000Z,1.67,25.92,11.1,7.72,15.68,5.468,371
